,Def2-TZVP,Def2-QZVP,Def2-SVP,cc-pwCVTZ,cc-pwCVQZ,cc-pwCVDZ
01_H.out,11,59,9,0,0,0
02_He.out,10,58,8,0,0,0
03_Li.out,25,67,15,83,165,33
04_Be.out,34,68,14,82,164,32
05_B.out,57,109,23,81,163,31
06_C.out,56,108,22,80,162,30
07_N.out,55,107,21,79,161,29
08_O.out,54,106,20,78,160,28
09_F.out,53,105,19,77,159,27
10_Ne.out,52,104,18,76,158,26
11_Na.out,53,81,19,107,207,43
12_Mg.out,52,90,24,106,206,42
13_Al.out,61,127,23,105,205,41
14_Si.out,60,126,22,104,204,40
15_P.out,59,125,21,103,203,39
16_S.out,58,124,20,102,202,38
17_Cl.out,57,123,19,101,201,37
18_Ar.out,56,122,18,100,200,36
19_K.out,47,93,29,0,0,0
20_Ca.out,52,92,28,116,216,52
21_Sc.out,69,147,41,183,277,0
22_Ti.out,68,146,40,182,276,0
23_V.out,67,145,39,181,275,0
24_Cr.out,66,144,38,180,274,0
25_Mn.out,65,143,37,179,273,0
26_Fe.out,64,142,36,178,272,0
27_Co.out,63,141,35,177,271,0
28_Ni.out,62,140,34,176,270,0
29_Cu.out,61,139,33,175,269,0
30_Zn.out,66,138,32,174,268,0
31_Ga.out,65,119,33,137,259,55
32_Ge.out,64,118,32,136,258,54
33_As.out,63,117,31,135,257,53
34_Se.out,62,116,30,134,256,52
35_Br.out,61,115,29,133,255,51
36_Kr.out,60,114,28,132,254,50
37_Rb.out,57,89,39,0,0,0
38_Sr.out,56,88,36,0,0,0
39_Y.out,69,133,51,0,0,0
40_Zr.out,68,132,50,182,276,96
41_Nb.out,67,131,49,181,275,95
42_Mo.out,66,130,48,180,274,94
43_Tc.out,47,47,47,47,47,47
44_Ru.out,64,128,46,178,272,92
45_Rh.out,63,127,45,177,271,91
46_Pd.out,62,126,44,176,270,90
47_Ag.out,61,125,43,175,269,89
48_Cd.out,60,124,42,174,268,88
49_In.out,79,143,31,139,267,57
50_Sn.out,78,142,30,138,266,56
51_Sb.out,77,141,29,137,265,55
52_Te.out,76,140,28,136,264,54
53_I.out,75,139,27,135,263,53
54_Xe.out,74,138,74,134,262,52
55_Cs.out,49,87,39,0,0,0
56_Ba.out,70,78,36,0,0,0
57_La.out,69,133,53,0,0,0
72_Hf.out,68,132,52,182,276,96
73_Ta.out,67,131,51,181,275,95
74_W.out,66,130,50,180,274,94
75_Re.out,65,129,49,179,273,93
76_Os.out,64,128,48,178,272,92
77_Ir.out,63,127,47,177,271,91
78_Pt.out,62,126,46,176,270,90
79_Au.out,61,125,45,175,269,89
80_Hg.out,66,124,44,174,268,88
81_Tl.out,79,143,31,139,267,57
82_Pb.out,78,142,30,138,266,56
83_Bi.out,77,141,29,137,265,55
84_Po.out,76,140,28,136,264,54
85_At.out,75,139,27,135,263,53
86_Rn.out,74,138,74,134,262,52
