,cc-pwCV5Z,Def2-TZVP,Def2-QZVP,Def2-SVP,cc-pwCVTZ,cc-pwCVQZ,cc-pwCVDZ
01_H.out,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_He.out,0.0,-0.004432598,-0.004432427,-0.0044335,0.0,0.0,0.0
03_Li.out,-0.003630014,-0.00371579,-0.003859169,-0.003895736,-0.003630865,-0.003630052,-0.003859924
04_Be.out,-0.009894544,-0.009891728,-0.00989452,-0.009814184,-0.009894475,-0.009894454,-0.00990032
05_B.out,-0.012931887,-0.012941438,-0.01293382,-0.013058874,-0.012942656,-0.012933385,-0.013012724
06_C.out,-0.015168987,-0.015178092,-0.015171054,-0.015303136,-0.015178542,-0.015170668,-0.01522555
07_N.out,-0.016748557,-0.016750194,-0.016748577,-0.016788793,-0.016745587,-0.016748371,-0.016713391
08_O.out,-0.02133359,-0.021355019,-0.021341322,-0.021342887,-0.021322752,-0.021325259,-0.021330514
09_F.out,-0.025019261,-0.025035145,-0.025027088,-0.024900688,-0.024997893,-0.025010433,-0.024976183
10_Ne.out,-0.028090543,-0.028079214,-0.028093374,-0.027809094,-0.028032986,-0.028073793,-0.027912489
11_Na.out,-0.026389375,-0.026423703,-0.026395839,-0.026448867,-0.026404384,-0.026391768,-0.026407543
12_Mg.out,-0.03239164,-0.032410132,-0.032400496,-0.032442181,-0.032393856,-0.032392516,-0.03242264
13_Al.out,-0.035309992,-0.035312371,-0.035284472,-0.035531816,-0.03529398,-0.035281572,-0.035398371
14_Si.out,-0.03843501,-0.038444681,-0.03841391,-0.038589806,-0.038429497,-0.03841062,-0.038529629
15_P.out,-0.041400876,-0.041422776,-0.041392084,-0.041439062,-0.041399734,-0.041403862,-0.041437366
16_S.out,-0.04786059,-0.04791537,-0.047853554,-0.048196761,-0.047894911,-0.047854161,-0.048135378
17_Cl.out,-0.054239633,-0.054280325,-0.054252308,-0.054436995,-0.054262341,-0.054236781,-0.054443482
18_Ar.out,-0.06021741,-0.06020748,-0.060196654,-0.060074399,-0.06019596,-0.060202412,-0.060210548
19_K.out,0.0,-0.059847836,-0.05987725,-0.059943569,0.0,0.0,0.0
20_Ca.out,0.0,-0.066078605,-0.066087436,-0.066124823,-0.06608008,-0.066085901,-0.066130188
21_Sc.out,-0.069885618,-0.070108958,-0.069931718,-0.070088615,-0.06990888,-0.069893189,0.0
