,cc-pwCV5Z,Def2-TZVP,Def2-QZVP,Def2-SVP,cc-pwCVTZ,cc-pwCVQZ,cc-pwCVDZ
01_H.out,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
02_He.out,0.0,-0.004224515,-0.004410986,-0.004303101,0.0,0.0,0.0
03_Li.out,-0.003589521,-0.003218601,-0.003670451,-0.00061448,-0.003498872,-0.003583477,-0.002468517
04_Be.out,-0.009837582,-0.009288022,-0.009391496,-0.004392861,-0.009735689,-0.009824999,-0.008802221
05_B.out,-0.012910607,-0.009548922,-0.01057556,-0.007778912,-0.012743657,-0.012894644,-0.011605046
06_C.out,-0.01514129,-0.012097644,-0.013087002,-0.009661143,-0.014960999,-0.015114615,-0.013507144
07_N.out,-0.016715078,-0.013883466,-0.01485681,-0.011232246,-0.016509932,-0.016675447,-0.014704838
08_O.out,-0.02126643,-0.018253477,-0.019419592,-0.014795144,-0.02082773,-0.021169857,-0.018086396
09_F.out,-0.024925761,-0.0216893,-0.023107462,-0.017788309,-0.024238104,-0.024777821,-0.020410502
10_Ne.out,-0.027968594,-0.024471953,-0.025810414,-0.019658669,-0.027007813,-0.027763858,-0.021827399
11_Na.out,-0.026218824,-0.01916125,-0.017070548,-0.000171543,-0.022996726,-0.025518587,-0.013314519
12_Mg.out,-0.032218043,-0.023859661,-0.024742497,-0.00447787,-0.030130975,-0.031768191,-0.020783938
13_Al.out,-0.035150992,-0.014563689,-0.026567443,-0.007847827,-0.033145217,-0.034758618,-0.023232877
14_Si.out,-0.038301498,-0.018164294,-0.031058119,-0.010752941,-0.036521345,-0.03797263,-0.027041273
15_P.out,-0.041287794,-0.021966554,-0.035102295,-0.013576543,-0.039558424,-0.040999717,-0.030426632
16_S.out,-0.047711956,-0.028696258,-0.042290536,-0.018689853,-0.045808649,-0.047409453,-0.035608919
17_Cl.out,-0.054059087,-0.035321445,-0.049021593,-0.024132834,-0.052026692,-0.053743511,-0.040945062
18_Ar.out,-0.059990473,-0.041395546,-0.055135133,-0.030179304,-0.057762753,-0.059631674,-0.046020977
19_K.out,0.0,-0.030938555,-0.034196585,-0.013341966,0.0,0.0,0.0
20_Ca.out,0.0,-0.036158215,-0.039846736,-0.025251571,-0.051706023,-0.059850283,-0.036722899
21_Sc.out,-0.065676376,-0.038748313,-0.046367249,-0.031209267,-0.062069608,-0.063681018,0.0
22_Ti.out,-0.068894943,-0.04176074,-0.050686293,-0.032714518,-0.065818917,-0.067199639,0.0
23_V.out,-0.072122628,-0.044886889,-0.053849307,-0.034915028,-0.068652582,-0.070831463,0.0
24_Cr.out,-0.067181438,-0.039917161,-0.04951337,-0.030927455,-0.063939285,-0.065735125,0.0
25_Mn.out,-0.07761634,-0.049536389,-0.057927571,-0.037647552,-0.074006642,-0.076097521,0.0
26_Fe.out,-0.085616702,-0.055683901,-0.066549316,-0.041943495,-0.081647998,-0.084125424,0.0
27_Co.out,-0.091634403,-0.060261749,-0.070722091,-0.043802193,-0.087802158,-0.090168137,0.0
28_Ni.out,-0.098868941,-0.063465865,-0.077132929,-0.047373109,-0.093207146,-0.097140999,0.0
29_Cu.out,-0.104342576,-0.066163556,-0.080040517,-0.047975244,-0.098117431,-0.102655112,0.0
30_Zn.out,-0.10825213,-0.070938814,-0.086039793,-0.051926612,-0.102415824,-0.106669354,0.0
31_Ga.out,-0.106468523,-0.028182271,-0.036632923,-0.016982848,-0.090910904,-0.103111936,-0.05517045
32_Ge.out,-0.106377964,-0.029357695,-0.037657158,-0.018201673,-0.092696611,-0.103535884,-0.057997244
33_As.out,-0.10755294,-0.029725588,-0.039749726,-0.019998557,-0.094888395,-0.105072545,-0.061144507
34_Se.out,-0.112914867,-0.034109376,-0.045457051,-0.024741595,-0.100906061,-0.110607223,-0.066782125
35_Br.out,-0.119050831,-0.040887891,-0.052606238,-0.030221082,-0.107667174,-0.116910083,-0.072936463
36_Kr.out,-0.12544848,-0.047353018,-0.059921001,-0.036067137,-0.114491566,-0.123446387,-0.079765036
37_Rb.out,0.0,-0.019018001,-0.035445001,-0.014815038,0.0,0.0,0.0
38_Sr.out,0.0,-0.038401134,-0.043908824,-0.018134082,0.0,0.0,0.0
39_Y.out,0.0,-0.044506281,-0.050271867,-0.033245284,0.0,0.0,0.0
40_Zr.out,-0.058398835,-0.04926732,-0.052857986,-0.040380524,-0.057408069,-0.055674254,-0.053651934
41_Nb.out,-0.055284613,-0.046321309,-0.05239938,-0.038376955,-0.054497877,-0.055088018,-0.049241372
42_Mo.out,-0.058429192,-0.050355871,-0.055779633,-0.042649015,-0.057642976,-0.058222869,-0.052347181
43_Tc.out,-0.072678111,-0.054193975,-0.054193975,-0.054193976,-0.071246205,-0.072305852,-0.065288025
44_Ru.out,-0.083468466,-0.069468843,-0.078971506,-0.061501604,-0.082967112,-0.082997257,-0.072225336
45_Rh.out,-0.095153933,-0.075387083,-0.087575834,-0.062661299,-0.092376492,-0.094541982,-0.08013581
46_Pd.out,-0.10987402,-0.084577656,-0.102980157,-0.070964798,-0.105459269,-0.108991656,-0.09064977
47_Ag.out,-0.111230708,-0.08635798,-0.103650731,-0.0726324,-0.106986282,-0.11031643,-0.091828803
