,cc-pwCV5Z,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,aug-cc-pvd+dz,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,cc-pwCVTZ,cc-pwCVQZ,aug-pc-1,aug-cc-pvqz,cc-pwCVDZ,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z,aug-cc-pvdz
01_H.out,0,23.0,0.0,6,30,9.0,17,33,5,0.0,80.0,0.0,0,0,0.0,46.0,0,23.0,0.0,46.0,80.0,9.0
02_He.out,0,23.0,50.0,6,30,9.0,17,33,5,3.0,80.0,88.0,0,0,9.0,46.0,0,23.0,23.0,46.0,80.0,9.0
03_Li.out,145,46.0,48.0,14,35,23.0,22,35,9,10.0,0.0,83.0,43,84,13.0,80.0,18,46.0,24.0,80.0,127.0,23.0
04_Be.out,145,46.0,48.0,19,36,23.0,22,36,9,10.0,0.0,83.0,43,84,13.0,80.0,18,46.0,24.0,80.0,127.0,23.0
05_B.out,145,46.0,89.0,31,57,23.0,37,63,14,13.0,127.0,145.0,43,84,23.0,80.0,18,46.0,46.0,80.0,127.0,23.0
06_C.out,145,46.0,89.0,31,57,23.0,37,63,14,13.0,127.0,145.0,43,84,23.0,80.0,18,46.0,46.0,80.0,127.0,23.0
07_N.out,145,46.0,89.0,31,57,23.0,37,63,14,13.0,127.0,145.0,43,84,23.0,80.0,18,46.0,46.0,80.0,127.0,23.0
08_O.out,145,46.0,89.0,31,57,23.0,40,66,14,13.0,127.0,145.0,43,84,23.0,80.0,18,46.0,46.0,80.0,127.0,23.0
09_F.out,145,46.0,89.0,31,57,23.0,40,66,14,13.0,127.0,145.0,43,84,23.0,80.0,18,46.0,46.0,80.0,127.0,23.0
10_Ne.out,145,46.0,89.0,31,57,23.0,40,66,14,13.0,127.0,145.0,43,84,23.0,80.0,18,46.0,46.0,80.0,127.0,23.0
11_Na.out,180,50.0,51.0,32,46,27.0,35,58,15,14.0,0.0,85.0,59,109,14.0,84.0,27,50.0,28.0,84.0,131.0,27.0
12_Mg.out,180,50.0,51.0,32,51,27.0,35,63,18,14.0,0.0,85.0,59,109,14.0,84.0,27,50.0,28.0,84.0,131.0,27.0
13_Al.out,181,55.0,89.0,37,70,32.0,48,76,18,17.0,136.0,141.0,59,109,27.0,84.0,27,50.0,50.0,89.0,131.0,27.0
14_Si.out,181,55.0,89.0,37,70,32.0,48,76,18,17.0,136.0,141.0,59,109,27.0,84.0,27,50.0,50.0,89.0,131.0,27.0
15_P.out,181,55.0,89.0,37,70,32.0,48,76,18,17.0,136.0,141.0,59,109,27.0,84.0,27,50.0,50.0,89.0,131.0,27.0
16_S.out,181,55.0,89.0,37,70,32.0,51,79,18,17.0,136.0,141.0,59,109,27.0,84.0,27,50.0,50.0,89.0,131.0,27.0
17_Cl.out,181,55.0,89.0,37,70,32.0,51,79,18,17.0,136.0,141.0,59,109,27.0,84.0,27,50.0,50.0,89.0,131.0,27.0
18_Ar.out,181,55.0,89.0,37,70,32.0,51,79,18,17.0,136.0,141.0,59,109,27.0,84.0,27,50.0,50.0,89.0,131.0,27.0
19_K.out,0,,65.0,33,56,,36,70,24,18.0,,99.0,0,0,33.0,,0,,42.0,,,
20_Ca.out,0,,65.0,36,56,,36,70,24,18.0,,99.0,68,118,33.0,,36,,42.0,,,
21_Sc.out,211,93.0,128.0,45,84,59.0,67,93,31,0.0,202.0,197.0,102,149,47.0,140.0,0,93.0,81.0,140.0,202.0,59.0
22_Ti.out,211,93.0,128.0,45,84,59.0,67,93,31,0.0,202.0,197.0,102,149,47.0,140.0,0,93.0,81.0,140.0,202.0,59.0
23_V.out,211,93.0,128.0,45,84,59.0,67,93,31,0.0,202.0,197.0,102,149,47.0,140.0,0,93.0,81.0,140.0,202.0,59.0
