,cc-pwCV5Z,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,aug-cc-pvd+dz,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,cc-pwCVTZ,cc-pwCVQZ,aug-pc-1,aug-cc-pvqz,cc-pwCVDZ,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z,aug-cc-pvdz
01_H.out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_He.out,0.0,-0.004432881,-0.004432373,-0.004432598,-0.004432427,-0.004439766,-0.004432598,-0.004432427,-0.0044335,-0.004477504,-0.004432857,-0.004432332,0.0,0.0,-0.004443143,-0.004432942,0.0,-0.004432881,-0.004434598,-0.004432942,-0.004432857,-0.004439766
03_Li.out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_Be.out,-0.005824945,-0.00582383,-0.005824689,-0.005821811,-0.00582498,-0.005817501,-0.005821811,-0.00582498,-0.005751465,-0.005858357,0.0,-0.005824921,-0.005825018,-0.005825003,-0.005794105,-0.005824681,-0.005832335,-0.00582382,-0.005788336,-0.005824685,-0.005824702,-0.005817368
05_B.out,-0.009140536,-0.009139527,-0.009141683,-0.009148152,-0.009142199,-0.009151797,-0.009142391,-0.009140725,-0.009263826,-0.009569185,-0.009139567,-0.009140095,-0.009150185,-0.009141921,-0.009218721,-0.009139784,-0.009214611,-0.009139527,-0.009147555,-0.009139784,-0.009139567,-0.009151797
06_C.out,-0.011662034,-0.011661865,-0.011662282,-0.011669855,-0.011663643,-0.011670106,-0.011664118,-0.011661921,-0.011798585,-0.012075171,-0.011661121,-0.011661152,-0.011670438,-0.011663545,-0.01168577,-0.011661298,-0.011712869,-0.011661865,-0.011658726,-0.011661298,-0.011661121,-0.011670106
07_N.out,-0.013486363,-0.013484926,-0.013487238,-0.013487612,-0.013486126,-0.013477951,-0.013487805,-0.013487009,-0.013540286,-0.013706559,-0.013486905,-0.01348668,-0.013482177,-0.013485785,-0.013468482,-0.013487219,-0.013452446,-0.013484926,-0.01348158,-0.013487219,-0.013486905,-0.013477951
08_O.out,-0.018367828,-0.018385961,-0.018370393,-0.018388006,-0.018374907,-0.018430637,-0.0183847,-0.018372321,-0.01838789,-0.019208615,-0.018367902,-0.018367144,-0.018355896,-0.018359395,-0.018586936,-0.018372282,-0.018361624,-0.018385961,-0.018401235,-0.018372282,-0.018367902,-0.018430637
09_F.out,-0.022291231,-0.022326254,-0.022291895,-0.022303134,-0.022297432,-0.022399162,-0.022309998,-0.022295374,-0.022186849,-0.023212973,-0.022292743,-0.022290427,-0.022268528,-0.022282121,-0.022635424,-0.02230066,-0.022244242,-0.022326254,-0.022340039,-0.02230066,-0.022292743,-0.022399162
10_Ne.out,-0.025554732,-0.025598602,-0.025556159,-0.025538507,-0.02555672,-0.02568882,-0.025570091,-0.025556506,-0.025287201,-0.026271395,-0.025560876,-0.025556245,-0.025496831,-0.025537635,-0.025949189,-0.025570368,-0.025374909,-0.025598602,-0.025617517,-0.025570368,-0.025560876,-0.02568882
