,cc-pwCV5Z,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,aug-cc-pvd+dz,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,cc-pwCVTZ,cc-pwCVQZ,aug-pc-1,aug-cc-pvqz,cc-pwCVDZ,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z,aug-cc-pvdz
01_H.out,0,45.0,0.0,11,59,17.0,33,65,9,0.0,159.0,0.0,0,0,0.0,91.0,0,45.0,0.0,91.0,159.0,17.0
02_He.out,0,44.0,98.0,10,58,16.0,32,64,8,4.0,158.0,174.0,0,0,16.0,90.0,0,44.0,44.0,90.0,158.0,16.0
03_Li.out,287,89.0,93.0,25,67,43.0,41,67,15,17.0,0.0,163.0,83,165,23.0,157.0,33,89.0,45.0,157.0,251.0,43.0
04_Be.out,286,88.0,92.0,34,68,42.0,40,68,14,16.0,0.0,162.0,82,164,22.0,156.0,32,88.0,44.0,156.0,250.0,42.0
05_B.out,285,87.0,173.0,57,109,41.0,69,121,23,21.0,249.0,285.0,81,163,41.0,155.0,31,87.0,87.0,155.0,249.0,41.0
06_C.out,284,86.0,172.0,56,108,40.0,68,120,22,20.0,248.0,284.0,80,162,40.0,154.0,30,86.0,86.0,154.0,248.0,40.0
07_N.out,283,85.0,171.0,55,107,39.0,67,119,21,19.0,247.0,283.0,79,161,39.0,153.0,29,85.0,85.0,153.0,247.0,39.0
08_O.out,282,84.0,170.0,54,106,38.0,72,124,20,18.0,246.0,282.0,78,160,38.0,152.0,28,84.0,84.0,152.0,246.0,38.0
09_F.out,281,83.0,169.0,53,105,37.0,71,123,19,17.0,245.0,281.0,77,159,37.0,151.0,27,83.0,83.0,151.0,245.0,37.0
10_Ne.out,280,82.0,168.0,52,104,36.0,70,122,18,16.0,244.0,280.0,76,158,36.0,150.0,26,82.0,82.0,150.0,244.0,36.0
11_Na.out,349,89.0,91.0,53,81,43.0,59,105,19,17.0,0.0,159.0,107,207,17.0,157.0,43,89.0,45.0,157.0,251.0,43.0
12_Mg.out,348,88.0,90.0,52,90,42.0,58,114,24,16.0,0.0,158.0,106,206,16.0,156.0,42,88.0,44.0,156.0,250.0,42.0
13_Al.out,349,97.0,165.0,61,127,51.0,83,139,23,21.0,259.0,269.0,105,205,41.0,155.0,41,87.0,87.0,165.0,249.0,41.0
14_Si.out,348,96.0,164.0,60,126,50.0,82,138,22,20.0,258.0,268.0,104,204,40.0,154.0,40,86.0,86.0,164.0,248.0,40.0
15_P.out,347,95.0,163.0,59,125,49.0,81,137,21,19.0,257.0,267.0,103,203,39.0,153.0,39,85.0,85.0,163.0,247.0,39.0
16_S.out,346,94.0,162.0,58,124,48.0,86,142,20,18.0,256.0,266.0,102,202,38.0,152.0,38,84.0,84.0,162.0,246.0,38.0
17_Cl.out,345,93.0,161.0,57,123,47.0,85,141,19,17.0,255.0,265.0,101,201,37.0,151.0,37,83.0,83.0,161.0,245.0,37.0
18_Ar.out,344,92.0,160.0,56,122,46.0,84,140,18,16.0,254.0,264.0,100,200,36.0,150.0,36,82.0,82.0,160.0,244.0,36.0
19_K.out,0,,111.0,47,93,,53,121,29,17.0,,179.0,0,0,47.0,,0,,65.0,,,
20_Ca.out,0,,110.0,52,92,,52,120,28,16.0,,178.0,116,216,46.0,,52,,64.0,,,
21_Sc.out,401,165.0,235.0,69,147,97.0,113,165,41,0.0,383.0,373.0,183,277,73.0,259.0,0,165.0,141.0,259.0,383.0,97.0
22_Ti.out,400,164.0,234.0,68,146,96.0,112,164,40,0.0,382.0,372.0,182,276,72.0,258.0,0,164.0,140.0,258.0,382.0,96.0
23_V.out,399,163.0,233.0,67,145,95.0,111,163,39,0.0,381.0,371.0,181,275,71.0,257.0,0,163.0,139.0,257.0,381.0,95.0
24_Cr.out,398,162.0,232.0,66,144,94.0,110,162,38,0.0,380.0,370.0,180,274,70.0,256.0,0,162.0,138.0,256.0,380.0,94.0
25_Mn.out,397,161.0,231.0,65,143,93.0,109,133,37,0.0,379.0,369.0,179,273,69.0,255.0,0,161.0,137.0,255.0,379.0,93.0
26_Fe.out,396,160.0,230.0,64,142,92.0,108,174,36,0.0,378.0,368.0,178,272,68.0,254.0,0,160.0,136.0,254.0,378.0,92.0
27_Co.out,395,159.0,229.0,63,141,91.0,107,173,35,0.0,377.0,367.0,177,271,67.0,253.0,0,159.0,135.0,253.0,377.0,91.0
